club,att_goals,att_xg,att_goals_vs_xg,att_shots,att_sot,att_conversion_pct,att_xg_per_shot,att_goals_per_game,att_np_goals,att_np_xg,att_np_goals_vs_xg,att_sp_goals,att_sp_shots,att_sp_xg,att_sp_goal_pct,att_sp_shot_pct,att_sp_xg_pct,att_touches_in_box,att_hit_woodwork,att_fast_breaks_total,att_fast_breaks_goals,def_tackles,def_interceptions,def_possession_won,def_blocks,def_clearances,def_avg_possession_pct,def_goals_conceded,def_xg_against,def_goals_vs_xg_against,def_shots_against,def_shots_in_box_pct,pas_passes_total,pas_passes_successful,pas_passes_pct,pas_final_third_successful,pas_final_third_pct,pas_direction_fwd_pct,pas_crosses_successful,pas_through_balls,prs_ppda,prs_pressed_seqs,prs_start_distance,prs_high_turnovers_total,prs_high_turnovers_shot_ending,prs_high_turnovers_goal_ending,prs_high_turnovers_shot_pct,seq_passes_10_plus,seq_direct_speed,seq_passes_per_seq,seq_sequence_time,seq_buildups_total,seq_direct_attacks_total,seq_direct_attacks_goals,msc_fouls,msc_yellows,msc_reds,msc_errors_lead_to_shot,msc_errors_lead_to_goal,msc_pens_conceded
Alaves,44,47.05,-3.05,463,153,9.5,0.1,1.16,37,41.54,-4.54,11,135,11.0,25.0,29.16,23.37,778,12,29,1,691,297,1859,148,901,48.0,56,47.67,8.33,473,64.69,15362,12346,80.4,2915,67.7,34.8,117,32,11.5,416,41.4,233,44,4,18.88,299,1.81,3.14,8.01,56,47,1,539,86,5,19,4,5
Athletic Bilbao,43,50.6,-7.6,522,172,8.24,0.1,1.13,38,45.87,-7.87,6,139,10.55,13.95,26.63,20.85,978,12,18,4,571,349,1983,78,808,48.6,58,42.24,15.76,357,64.43,15562,12496,80.3,3421,66.9,35.0,137,59,11.2,557,45.0,368,61,3,16.58,276,2.03,3.08,8.12,57,42,5,497,73,7,27,6,6
Atlético Madrid,62,58.87,3.13,498,193,12.45,0.12,1.63,59,55.71,3.29,12,132,11.0,19.35,26.51,18.68,1060,15,33,8,647,297,1839,114,812,53.3,44,48.98,-4.98,441,61.45,19208,16443,85.6,4121,75.8,30.2,130,100,12.2,427,42.3,267,31,5,11.61,495,1.7,4.16,11.03,124,64,2,399,77,5,22,4,6
Barcelona,95,86.62,8.38,692,257,13.73,0.13,2.5,88,78.73,9.27,15,155,11.48,15.79,22.4,13.25,1340,31,37,11,618,280,1756,95,716,68.8,36,45.33,-9.33,346,77.75,24800,22316,90.0,5850,81.6,25.7,89,121,8.7,471,43.9,294,51,10,17.35,845,1.68,5.19,14.22,231,65,9,348,59,2,22,3,5
Celta Vigo,53,49.52,3.48,382,153,13.87,0.13,1.39,45,43.21,1.79,7,78,6.27,13.21,20.42,12.65,749,5,25,3,545,274,1710,130,914,50.5,48,49.7,-1.7,478,64.44,18909,16281,86.1,3727,74.9,29.0,61,121,13.9,350,39.5,214,33,5,15.42,528,1.6,4.38,11.65,110,53,4,425,71,1,34,8,11
Elche,49,42.58,6.42,410,145,11.95,0.1,1.29,45,38.63,6.37,7,93,5.81,14.29,22.68,13.64,768,7,23,5,674,310,1798,148,864,57.7,57,62.61,-5.61,526,65.78,18937,16205,85.6,3963,75.8,31.8,113,44,9.8,398,39.9,226,44,3,19.47,488,1.69,3.81,10.58,94,46,6,482,77,7,30,7,7
Espanyol,43,48.94,-5.94,480,158,8.96,0.1,1.13,40,45.0,-5.0,14,170,14.39,32.56,35.42,29.4,731,7,33,5,611,318,1718,161,935,42.3,55,55.31,-0.31,521,68.33,13227,10385,78.5,2236,60.1,37.9,118,51,12.9,438,41.3,238,43,2,18.07,221,2.11,2.91,7.7,37,43,2,477,85,5,18,5,5
Getafe,32,30.59,1.41,352,105,9.09,0.09,0.84,30,27.43,2.57,12,152,8.89,37.5,43.18,29.07,582,4,14,1,684,339,1714,94,1063,40.1,38,42.62,-4.62,420,64.05,10912,7538,69.1,2091,55.2,44.5,95,25,11.7,497,42.7,250,28,1,11.2,65,1.95,2.19,5.62,9,18,1,542,103,8,23,8,4
Girona,39,48.2,-9.2,425,157,9.18,0.11,1.03,32,41.89,-9.89,6,98,8.93,15.38,23.06,18.52,824,10,31,3,588,292,1786,145,954,50.7,55,56.39,-1.39,552,67.75,17759,15217,85.7,3860,76.7,31.1,78,51,14.5,359,39.9,233,30,1,12.88,445,1.64,3.86,11.36,86,58,3,387,76,7,32,8,6
Levante,47,52.76,-5.76,476,147,9.87,0.11,1.24,45,48.02,-3.02,16,162,13.82,34.04,34.03,26.19,792,16,41,5,597,332,1709,157,1010,42.8,61,60.69,0.31,584,64.04,13505,10718,79.4,2265,61.5,35.9,123,50,13.6,398,40.7,234,40,5,17.09,240,1.92,2.93,7.86,39,53,5,446,84,5,18,3,4
