club,played,att_goals,att_xg,att_goals_vs_xg,att_shots,att_sot,att_conversion_pct,att_xg_per_shot,att_np_goals,att_np_xg,att_np_goals_vs_xg,att_np_shots,att_np_sot,att_np_conv_pct,att_np_xg_per_shot,att_sp_goals,att_sp_shots,att_sp_xg,att_sp_goal_pct,att_sp_shot_pct,att_sp_xg_pct,att_touches_in_box,att_hit_woodwork,att_offsides,att_penalties_total,att_penalties_goals,att_free_kicks_total,att_free_kicks_goals,att_headers_total,att_headers_goals,att_fast_breaks_total,att_fast_breaks_goals,def_avg_possession_pct,def_tackles,def_interceptions,def_possession_won,def_blocks,def_clearances,def_ground_duels_won_pct,def_aerial_duels_won_pct,def_goals_conceded,def_xg_against,def_goals_vs_xg_against,def_shots_against,def_sot_against,def_conv_pct_against,def_xg_per_shot_against,def_shots_in_box_pct,def_goals_in_box_pct,def_sp_goals,def_sp_shots,def_sp_xg,def_sp_goal_pct,def_sp_shot_pct,def_sp_xg_pct,def_touches_in_box,def_hit_woodwork,def_offsides,def_penalties_total,def_penalties_goals,def_free_kicks_total,def_free_kicks_goals,def_headers_total,def_headers_goals,def_fast_breaks_total,def_fast_breaks_goals,pas_passes_total,pas_passes_successful,pas_passes_pct,pas_final_third_total,pas_final_third_successful,pas_final_third_pct,pas_direction_fwd_pct,pas_direction_bwd_pct,pas_direction_left_pct,pas_direction_right_pct,pas_crosses_total,pas_crosses_successful,pas_crosses_pct,pas_through_balls,prs_pressed_seqs,prs_ppda,prs_start_distance,prs_high_turnovers_total,prs_high_turnovers_shot_ending,prs_high_turnovers_goal_ending,prs_high_turnovers_shot_pct,seq_passes_10_plus,seq_direct_speed,seq_passes_per_seq,seq_sequence_time,seq_buildups_total,seq_buildups_goals,seq_direct_attacks_total,seq_direct_attacks_goals,msc_subs_used,msc_subs_goals,msc_errors_lead_to_shot,msc_errors_lead_to_goal,msc_fouled,msc_yellows,msc_reds,msc_pens_won,msc_fouls,msc_opp_yellows,msc_opp_reds,msc_pens_conceded,att_goals_per_game,att_shots_per_game,att_xg_per_game,att_fast_breaks_per_game,att_touches_in_box_per_game,def_tackles_per_game,def_interceptions_per_game,def_goals_conceded_per_game,pas_passes_per_game,pas_crosses_per_game,pas_through_balls_per_game,prs_pressed_seqs_per_game,seq_buildups_per_game,seq_direct_attacks_per_game,msc_fouls_per_game,msc_yellows_per_game
Alaves,38,44,47.05,-3.05,463,153,9.5,0.1,37,41.54,-4.54,456,146,8.11,0.09,11,135,11.0,25.0,29.16,23.37,778,12,74,7,7,10,1,82,6,29,1,48.0,691,297,1859,148,901,47.5,49.4,56,47.67,8.33,473,154,11.84,0.1,64.69,87.5,6,154,12.54,10.71,32.56,26.31,854,10,55,5,5,13,0,94,7,30,8,15362,12346,80.4,4305,2915,67.7,34.8,15.9,24.6,24.8,538,117,21.8,32,416,11.5,41.4,233,44,4,18.88,299,1.81,3.14,8.01,56,2,47,1,172,6,19,4,489,86,5,7,539,75,6,5,1.16,12.18,1.24,0.76,20.47,18.18,7.82,1.47,404.26,14.16,0.84,10.95,1.47,1.24,14.18,2.26
Athletic Bilbao,38,43,50.6,-7.6,522,172,8.24,0.1,38,45.87,-7.87,516,166,7.36,0.09,6,139,10.55,13.95,26.63,20.85,978,12,52,6,5,20,0,95,5,18,4,48.6,571,349,1983,78,808,45.5,49.6,58,42.24,15.76,357,161,16.25,0.12,64.43,79.31,9,88,5.53,15.52,24.65,13.08,610,4,127,6,3,7,2,50,5,38,7,15562,12496,80.3,5114,3421,66.9,35.0,14.6,25.5,25.0,698,137,19.6,59,557,11.2,45.0,368,61,3,16.58,276,2.03,3.08,8.12,57,2,42,5,189,8,27,6,391,73,7,6,497,75,4,6,1.13,13.74,1.33,0.47,25.74,15.03,9.18,1.53,409.53,18.37,1.55,14.66,1.5,1.11,13.08,1.92
Atlético Madrid,38,62,58.87,3.13,498,193,12.45,0.12,59,55.71,3.29,494,189,11.94,0.11,12,132,11.0,19.35,26.51,18.68,1060,15,79,4,3,10,2,105,12,33,8,53.3,647,297,1839,114,812,48.6,53.8,44,48.98,-4.98,441,142,9.98,0.11,61.45,81.82,9,133,11.22,20.45,30.16,22.9,752,9,59,6,5,15,0,82,7,27,7,19208,16443,85.6,5438,4121,75.8,30.2,15.7,27.1,27.0,561,130,23.2,100,427,12.2,42.3,267,31,5,11.61,495,1.7,4.16,11.03,124,6,64,2,184,18,22,4,345,77,5,4,399,75,2,6,1.63,13.11,1.55,0.87,27.89,17.03,7.82,1.16,505.47,14.76,2.63,11.24,3.26,1.68,10.5,2.03
Barcelona,38,95,86.62,8.38,692,257,13.73,0.13,88,78.73,9.27,682,250,12.9,0.12,15,155,11.48,15.79,22.4,13.25,1340,31,83,10,7,27,2,73,11,37,11,68.8,618,280,1756,95,716,53.2,57.7,36,45.33,-9.33,346,132,10.4,0.13,77.75,91.67,8,97,8.91,22.22,28.03,19.66,699,3,164,5,4,8,0,54,2,46,5,24800,22316,90.0,7168,5850,81.6,25.7,15.1,29.1,30.1,391,89,22.8,121,471,8.7,43.9,294,51,10,17.35,845,1.68,5.19,14.22,231,10,65,9,184,18,22,3,433,59,2,10,348,89,8,5,2.5,18.21,2.28,0.97,35.26,16.26,7.37,0.95,652.63,10.29,3.18,12.39,6.08,1.71,9.16,1.55
Celta Vigo,38,53,49.52,3.48,382,153,13.87,0.13,45,43.21,1.79,374,145,12.03,0.12,7,78,6.27,13.21,20.42,12.65,749,5,76,8,8,6,0,45,2,25,3,50.5,545,274,1710,130,914,50.0,45.0,48,49.7,-1.7,478,160,10.04,0.1,64.44,83.33,12,126,9.73,25.0,26.36,19.58,899,10,75,11,6,15,0,93,6,18,2,18909,16281,86.1,4974,3727,74.9,29.0,14.9,28.3,27.8,294,61,20.8,121,350,13.9,39.5,214,33,5,15.42,528,1.6,4.38,11.65,110,6,53,4,190,17,34,8,447,71,1,8,425,81,8,11,1.39,10.05,1.3,0.66,19.71,14.34,7.21,1.26,497.61,7.74,3.18,9.21,2.89,1.39,11.18,1.87
Elche,38,49,42.58,6.42,410,145,11.95,0.1,45,38.63,6.37,405,140,11.11,0.1,7,93,5.81,14.29,22.68,13.64,768,7,59,5,4,9,1,85,3,23,5,57.7,674,310,1798,148,864,52.0,49.9,57,62.61,-5.61,526,183,10.84,0.12,65.78,78.95,9,123,9.17,15.79,23.38,14.65,903,10,69,7,6,12,0,86,6,49,10,18937,16205,85.6,5230,3963,75.8,31.8,18.2,25.1,24.9,485,113,23.3,44,398,9.8,39.9,226,44,3,19.47,488,1.69,3.81,10.58,94,2,46,6,190,8,30,7,538,77,7,5,482,85,3,7,1.29,10.79,1.12,0.61,20.21,17.74,8.16,1.5,498.34,12.76,1.16,10.47,2.47,1.21,12.68,2.03
Espanyol,38,43,48.94,-5.94,480,158,8.96,0.1,40,45.0,-5.0,475,153,8.42,0.1,14,170,14.39,32.56,35.42,29.4,731,7,70,5,3,15,0,116,11,33,5,42.3,611,318,1718,161,935,49.0,46.4,55,55.31,-0.31,521,195,10.56,0.11,68.33,80.0,9,147,11.19,16.36,28.21,20.23,928,11,58,5,5,15,1,95,8,42,6,13227,10385,78.5,3721,2236,60.1,37.9,14.5,23.1,24.4,579,118,20.4,51,438,12.9,41.3,238,43,2,18.07,221,2.11,2.91,7.7,37,2,43,2,184,12,18,5,457,85,5,5,477,92,2,5,1.13,12.63,1.29,0.87,19.24,16.08,8.37,1.45,348.08,15.24,1.34,11.53,0.97,1.13,12.55,2.24
Getafe,38,32,30.59,1.41,352,105,9.09,0.09,30,27.43,2.57,348,102,8.62,0.08,12,152,8.89,37.5,43.18,29.07,582,4,91,4,2,6,0,86,8,14,1,40.1,684,339,1714,94,1063,50.0,45.5,38,42.62,-4.62,420,154,9.05,0.1,64.05,73.68,10,152,10.92,26.32,36.19,25.63,715,11,104,4,1,15,0,105,9,38,9,10912,7538,69.1,3791,2091,55.2,44.5,14.3,20.2,21.0,509,95,18.7,25,497,11.7,42.7,250,28,1,11.2,65,1.95,2.19,5.62,9,0,18,1,145,2,23,8,531,103,8,4,542,89,6,4,0.84,9.26,0.81,0.37,15.32,18.0,8.92,1.0,287.16,13.39,0.66,13.08,0.24,0.47,14.26,2.71
Girona,38,39,48.2,-9.2,425,157,9.18,0.11,32,41.89,-9.89,417,149,7.67,0.1,6,98,8.93,15.38,23.06,18.52,824,10,73,8,7,13,0,58,3,31,3,50.7,588,292,1786,145,954,51.9,47.5,55,56.39,-1.39,552,180,9.96,0.1,67.75,85.45,10,141,9.79,18.18,25.54,17.36,1025,11,57,6,5,14,1,103,12,49,3,17759,15217,85.7,5032,3860,76.7,31.1,16.6,26.1,26.2,428,78,18.2,51,359,14.5,39.9,233,30,1,12.88,445,1.64,3.86,11.36,86,4,58,3,172,10,32,8,521,76,7,8,387,80,2,6,1.03,11.18,1.27,0.82,21.68,15.47,7.68,1.45,467.34,11.26,1.34,9.45,2.26,1.53,10.18,2.0
Levante,38,47,52.76,-5.76,476,147,9.87,0.11,45,48.02,-3.02,470,143,9.57,0.1,16,162,13.82,34.04,34.03,26.19,792,16,59,6,2,18,1,100,12,41,5,42.8,597,332,1709,157,1010,49.3,50.5,61,60.69,0.31,584,197,10.45,0.1,64.04,78.69,13,166,11.1,21.31,28.42,18.3,998,13,64,4,3,6,0,107,8,34,9,13505,10718,79.4,3684,2265,61.5,35.9,15.6,23.4,25.1,465,123,26.4,50,398,13.6,40.7,234,40,5,17.09,240,1.92,2.93,7.86,39,2,53,5,189,9,18,3,464,84,5,6,446,78,8,4,1.24,12.53,1.39,1.08,20.84,15.71,8.74,1.61,355.39,12.24,1.32,10.47,1.03,1.39,11.74,2.21
