club,played,goals,xg,goals_vs_xg,shots,sot,conversion_pct,xg_per_shot,avg_possession_pct,tackles,interceptions,possession_won,blocks,clearances,ground_duels_won_pct,aerial_duels_won_pct,passes_total,passes_successful,passes_pct,final_third_total,final_third_successful,final_third_pct,direction_fwd_pct,direction_bwd_pct,direction_left_pct,direction_right_pct,crosses_total,crosses_successful,crosses_pct,through_balls,pressed_seqs,ppda,start_distance,high_turnovers_total,high_turnovers_shot_ending,high_turnovers_goal_ending,high_turnovers_shot_pct,passes_10_plus,direct_speed,passes_per_seq,sequence_time,buildups_total,buildups_goals,direct_attacks_total,direct_attacks_goals,subs_used,subs_goals,errors_lead_to_shot,errors_lead_to_goal,fouled,yellows,reds,pens_won,fouls,opp_yellows,opp_reds,pens_conceded,att_goals_per_game,att_xg_per_game,att_shots_per_game,def_tackles_per_game,def_interceptions_per_game,pas_passes_per_game,pas_crosses_per_game,pas_through_balls_per_game,prs_pressed_seqs_per_game,seq_buildups_per_game,seq_direct_attacks_per_game,msc_fouls_per_game,cluster
Barcelona,38,95,86.62,8.38,692,257,13.73,0.13,68.8,618,280,1756,95,716,53.2,57.7,24800,22316,90.0,7168,5850,81.6,25.7,15.1,29.1,30.1,391,89,22.8,121,471,8.7,43.9,294,51,10,17.35,845,1.68,5.19,14.22,231,10,65,9,184,18,22,3,433,59,2,10,348,89,8,5,2.5,2.28,18.21,16.26,7.37,652.63,10.29,3.18,12.39,6.08,1.71,9.16,1
Real Madrid,38,77,78.0,-1.0,665,253,11.58,0.12,59.4,591,252,1776,124,639,54.3,56.9,22307,20002,89.7,7008,5743,82.0,27.7,14.7,29.1,28.5,360,68,18.9,97,415,11.5,43.3,279,65,11,23.3,724,1.74,4.91,13.55,169,14,103,7,171,6,27,5,522,68,7,14,359,79,10,4,2.03,2.05,17.5,15.55,6.63,587.03,9.47,2.55,10.92,4.45,2.71,9.45,1
Villarreal,38,72,59.04,12.96,455,172,15.82,0.13,44.5,655,331,1784,158,1026,49.1,47.9,15550,12927,83.1,4128,2938,71.2,31.6,13.4,27.6,27.3,331,73,22.1,80,367,15.1,38.9,218,23,3,10.55,352,1.99,3.48,9.28,75,4,90,12,184,8,42,13,444,77,3,7,427,76,3,8,1.89,1.55,11.97,17.24,8.71,409.21,8.71,2.11,9.66,1.97,2.37,11.24,0
Atlético Madrid,38,62,58.87,3.13,498,193,12.45,0.12,53.3,647,297,1839,114,812,48.6,53.8,19208,16443,85.6,5438,4121,75.8,30.2,15.7,27.1,27.0,561,130,23.2,100,427,12.2,42.3,267,31,5,11.61,495,1.7,4.16,11.03,124,6,64,2,184,18,22,4,345,77,5,4,399,75,2,6,1.63,1.55,13.11,17.03,7.82,505.47,14.76,2.63,11.24,3.26,1.68,10.5,0
Real Betis,38,59,55.63,3.37,541,184,10.91,0.1,50.2,657,342,1847,118,1067,51.4,49.5,17878,15207,85.1,4807,3566,74.2,31.4,15.2,26.6,26.9,402,87,21.6,68,382,13.6,42.0,269,58,7,21.56,447,1.98,3.83,10.3,82,2,83,7,163,7,19,6,466,72,2,3,370,92,4,7,1.55,1.46,14.24,17.29,9.0,470.47,10.58,1.79,10.05,2.16,2.18,9.74,0
Real Sociedad,38,59,54.42,4.58,469,175,12.58,0.12,51.3,678,299,1737,145,947,49.2,51.9,17033,14161,83.1,4501,3147,69.9,34.4,15.8,24.8,24.9,456,94,20.6,79,429,10.4,42.8,256,48,4,18.75,391,1.91,3.56,9.48,49,4,46,4,187,11,27,7,435,88,4,9,519,88,6,5,1.55,1.43,12.34,17.84,7.87,448.24,12.0,2.08,11.29,1.29,1.21,13.66,0
Rayo Vallecano,38,41,53.19,-12.19,531,184,7.72,0.1,53.4,685,315,1935,155,992,49.5,45.7,15858,13041,82.2,4273,2895,67.8,33.9,16.3,24.6,25.2,573,114,19.9,48,400,9.9,41.3,244,42,2,17.21,310,1.83,3.28,8.8,45,1,67,1,188,11,23,2,397,97,9,5,482,82,5,8,1.08,1.4,13.97,18.03,8.29,417.32,15.08,1.26,10.53,1.18,1.76,12.68,0
Levante,38,47,52.76,-5.76,476,147,9.87,0.11,42.8,597,332,1709,157,1010,49.3,50.5,13505,10718,79.4,3684,2265,61.5,35.9,15.6,23.4,25.1,465,123,26.4,50,398,13.6,40.7,234,40,5,17.09,240,1.92,2.93,7.86,39,2,53,5,189,9,18,3,464,84,5,6,446,78,8,4,1.24,1.39,12.53,15.71,8.74,355.39,12.24,1.32,10.47,1.03,1.39,11.74,0
Athletic Bilbao,38,43,50.6,-7.6,522,172,8.24,0.1,48.6,571,349,1983,78,808,45.5,49.6,15562,12496,80.3,5114,3421,66.9,35.0,14.6,25.5,25.0,698,137,19.6,59,557,11.2,45.0,368,61,3,16.58,276,2.03,3.08,8.12,57,2,42,5,189,8,27,6,391,73,7,6,497,75,4,6,1.13,1.33,13.74,15.03,9.18,409.53,18.37,1.55,14.66,1.5,1.11,13.08,0
Celta Vigo,38,53,49.52,3.48,382,153,13.87,0.13,50.5,545,274,1710,130,914,50.0,45.0,18909,16281,86.1,4974,3727,74.9,29.0,14.9,28.3,27.8,294,61,20.8,121,350,13.9,39.5,214,33,5,15.42,528,1.6,4.38,11.65,110,6,53,4,190,17,34,8,447,71,1,8,425,81,8,11,1.39,1.3,10.05,14.34,7.21,497.61,7.74,3.18,9.21,2.89,1.39,11.18,0
