club,possession_score,attacking_efficiency_score,direct_play_score,pressing_score,defensive_solidity_score,chance_creation_score,build_up_score,set_piece_score,counter_attack_score
Alaves,35.54,28.84,42.39,42.0,58.01,29.6,29.93,55.21,27.11
Athletic Bilbao,35.48,25.37,50.96,77.96,64.27,46.15,31.02,34.02,38.08
Atlético Madrid,62.8,58.39,37.83,38.66,58.67,58.67,60.86,51.7,33.93
Barcelona,99.85,92.97,28.16,73.25,50.82,93.29,100.0,57.58,45.88
Celta Vigo,62.75,52.2,29.33,19.63,45.68,32.58,61.9,8.21,23.52
Elche,62.78,42.47,29.21,42.06,37.34,27.62,54.07,10.18,30.88
Espanyol,21.93,27.52,60.25,36.89,41.25,29.59,20.71,87.36,41.8
Getafe,0.0,18.7,54.03,38.98,69.87,4.45,0.0,66.52,22.48
Girona,57.78,23.62,30.34,14.81,36.43,29.47,53.87,21.89,26.44
Levante,24.5,34.26,54.05,31.7,34.47,34.77,22.35,88.06,47.15
Mallorca,36.86,38.96,41.81,17.76,33.11,22.43,33.47,26.67,31.05
Osasuna,33.56,30.42,52.42,29.21,54.51,31.62,29.75,76.65,39.13
Rayo Vallecano,42.45,21.99,50.08,43.24,64.98,37.43,33.01,34.93,40.06
Real Betis,54.97,49.0,60.0,46.87,64.92,44.51,49.89,33.38,69.39
Real Madrid,86.57,66.66,42.42,66.37,61.14,77.45,87.22,70.64,53.82
Real Oviedo,36.34,7.11,33.12,17.13,39.65,15.13,30.71,52.04,21.94
Real Sociedad,47.95,54.51,47.81,52.5,41.27,38.41,39.81,51.5,39.86
Sevilla,39.98,35.2,46.83,41.91,46.24,24.02,33.02,13.1,40.48
Valencia,38.72,33.23,42.08,33.5,52.5,30.5,34.55,43.45,41.31
Villarreal,41.03,76.34,63.23,8.5,66.31,38.8,39.03,16.06,82.96
