club,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,max_prob
Alaves,2,0.0,0.0,1.0,0.0,1.0
Athletic Bilbao,3,0.0,0.0,0.0,1.0,1.0
Atlético Madrid,0,1.0,0.0,0.0,0.0,1.0
Barcelona,0,1.0,0.0,0.0,0.0,1.0
Celta Vigo,1,0.0,1.0,0.0,0.0,1.0
Elche,1,0.0,1.0,0.0,0.0,1.0
Espanyol,2,0.0,0.0,1.0,0.0,1.0
Getafe,2,0.0,0.0,1.0,0.0,1.0
Girona,1,0.0,1.0,0.0,0.0,1.0
Levante,2,0.0,0.0,1.0,0.0,1.0
Mallorca,1,0.0,1.0,0.0,0.0,1.0
Osasuna,2,0.0,0.0,1.0,0.0,1.0
Rayo Vallecano,3,0.0,0.0,0.0,1.0,1.0
Real Betis,3,0.0,0.0,0.0,1.0,1.0
Real Madrid,0,1.0,0.0,0.0,0.0,1.0
Real Oviedo,1,0.0,1.0,0.0,0.0,1.0
Real Sociedad,1,0.0,1.0,0.0,0.0,1.0
Sevilla,1,0.0,1.0,0.0,0.0,1.0
Valencia,2,0.0,0.0,1.0,0.0,1.0
Villarreal,3,0.0,0.0,0.0,1.0,1.0
