club,Possession Score,Direct Play Score,Pressing Score,Attacking Efficiency Score,Defensive Solidity Score,Set Piece Score,Chance Creation Score,Transition Score,Discipline Score
Alaves,36.13,28.47,44.63,30.14,57.63,52.73,23.98,37.48,46.03
Athletic Bilbao,37.92,51.88,81.65,34.26,45.14,57.19,42.14,58.08,49.38
Atlético Madrid,57.03,50.45,39.16,55.66,57.37,53.15,57.85,35.85,65.39
Barcelona,88.89,61.29,71.12,94.05,52.03,71.08,100.0,32.7,93.65
Celta Vigo,53.76,44.74,18.06,39.4,41.39,27.27,41.63,18.39,58.56
Elche,55.43,31.76,43.7,36.17,52.08,34.09,27.0,23.6,45.57
Espanyol,24.61,43.89,40.96,28.2,50.75,67.27,24.64,51.04,54.56
Getafe,11.11,20.81,44.53,12.46,71.09,46.16,0.61,38.69,31.64
Girona,48.62,30.92,16.61,25.03,46.39,36.4,32.24,26.3,61.93
Levante,26.03,43.48,31.73,31.51,46.12,62.19,27.33,47.82,62.67
Mallorca,33.51,32.29,18.94,33.6,41.46,24.69,14.63,33.31,51.49
Osasuna,32.69,40.77,33.42,32.1,47.4,71.72,22.46,49.0,30.43
Rayo Vallecano,39.38,37.18,46.88,28.34,77.68,36.74,32.64,48.39,25.57
Real Betis,48.48,50.62,46.25,49.07,68.12,46.39,44.53,66.7,76.61
Real Madrid,75.77,58.18,63.58,77.71,50.35,85.66,89.73,46.75,77.02
Real Oviedo,31.48,24.23,19.84,6.03,51.04,28.11,8.66,23.49,43.66
Real Sociedad,42.87,48.95,56.37,47.51,46.78,34.44,38.8,41.71,50.3
Sevilla,37.04,27.1,44.09,33.82,50.01,31.51,22.05,44.37,15.31
Valencia,35.99,42.35,34.72,29.44,45.69,41.08,27.9,39.23,61.78
Villarreal,37.59,71.49,6.5,62.82,70.56,47.0,42.02,59.44,60.2
