club,possession_score,attacking_efficiency_score,direct_play_score,pressing_score,defensive_solidity_score,chance_creation_score,build_up_score,set_piece_score,discipline_score,counter_attack_score
Alaves,36.07,29.19,38.65,42.75,58.82,30.49,30.53,55.21,61.87,27.11
Athletic Bilbao,36.19,26.54,47.68,73.22,61.0,48.81,32.4,34.02,54.28,38.08
Atlético Madrid,64.13,58.54,38.98,35.33,58.04,61.09,61.77,51.7,70.46,33.93
Barcelona,99.8,93.75,32.82,72.06,50.73,91.06,100.0,57.58,89.5,45.88
Celta Vigo,64.03,54.75,31.21,22.05,47.38,34.87,62.05,8.21,48.11,23.52
Elche,63.64,39.11,27.77,45.09,38.68,31.56,54.86,10.18,47.61,30.88
Espanyol,22.15,27.07,57.27,36.85,44.6,31.53,20.89,87.36,66.39,41.8
Getafe,0.0,14.26,47.46,33.31,73.37,5.79,0.0,66.52,45.42,22.48
Girona,59.66,26.94,30.45,14.34,37.45,30.88,54.86,21.89,55.24,26.44
Levante,24.73,33.77,51.66,33.14,38.26,33.25,22.52,88.06,74.7,47.15
Mallorca,37.97,36.99,38.78,16.19,36.38,26.22,33.78,26.67,58.14,31.05
Osasuna,34.67,29.85,49.2,26.08,55.45,33.76,30.42,76.65,47.87,39.13
Rayo Vallecano,43.32,23.87,48.62,42.89,63.94,39.05,33.86,34.93,47.1,40.06
Real Betis,56.07,46.53,61.83,49.44,65.94,43.66,50.52,33.38,76.06,69.39
Real Madrid,87.55,71.19,46.32,69.15,60.37,79.97,88.03,70.64,73.66,53.82
Real Oviedo,37.79,7.37,30.42,17.83,43.52,15.25,31.16,52.04,30.59,21.94
Real Sociedad,48.62,55.61,47.06,51.23,44.52,39.71,40.27,51.5,54.18,39.86
Sevilla,40.83,30.74,44.58,40.62,47.93,25.21,33.48,13.1,22.75,40.48
Valencia,40.0,32.43,40.3,33.14,53.99,29.48,35.31,43.45,62.01,41.31
Villarreal,42.19,75.69,63.81,9.16,68.99,38.42,39.45,16.06,38.26,82.96
