name,club,apps,mins,goals,xg,goals_vs_xg,shots,sot,conv_pct,xg_per_shot
Robert Lewandowski,Barcelona,31,1656,14,14.13,-0.13,63,29,22.22,0.22
Ferran Torres,Barcelona,33,1976,16,13.09,2.91,69,37,23.19,0.19
Lamine Yamal,Barcelona,28,2268,16,12.77,3.23,117,37,13.68,0.11
Raphinha,Barcelona,22,1388,13,10.57,2.43,65,24,20.0,0.16
Dani Olmo,Barcelona,33,2077,7,7.66,-0.66,70,21,10.0,0.11
Marcus Rashford,Barcelona,32,1761,8,7.35,0.65,76,29,10.53,0.1
Fermín López,Barcelona,30,1797,6,6.98,-0.98,68,25,8.82,0.1
Eric García,Barcelona,34,2730,1,2.96,-1.96,25,7,4.0,0.12
Jules Koundé,Barcelona,30,2261,1,1.65,-0.65,14,4,7.14,0.12
Pedri,Barcelona,29,2107,2,1.57,0.43,21,10,9.52,0.07
Ronald Araujo,Barcelona,24,1061,3,1.43,1.57,12,5,25.0,0.12
Frenkie de Jong,Barcelona,25,1631,1,1.17,-0.17,7,2,14.29,0.17
Marc Casadó,Barcelona,24,981,0,0.95,-0.95,1,0,0.0,0.09
Alejandro Balde,Barcelona,28,1874,0,0.65,-0.65,10,1,10.0,0.07
Pau Cubarsí,Barcelona,31,2708,1,0.54,0.46,10,2,10.0,0.05
João Cancelo,Barcelona,16,952,2,0.52,1.48,13,4,15.38,0.04
Gerard Martín,Barcelona,32,2124,0,0.2,-0.2,7,4,0.0,0.03
Vinícius Júnior,Real Madrid,36,2825,16,13.65,2.35,101,46,15.84,0.14
Aurélien Tchouaméni,Real Madrid,33,2622,1,2.66,-1.66,45,7,2.22,0.06
Federico Valverde,Real Madrid,33,2746,5,2.89,2.11,51,22,9.8,0.06
Arda Güler,Real Madrid,33,2026,4,4.57,-0.5700000000000001,49,19,8.16,0.09
Kylian Mbappé,Real Madrid,31,2604,25,23.95,1.05,146,63,17.12,0.16
Brahim Díaz,Real Madrid,30,1252,1,1.84,-0.84,15,7,6.67,0.12
Gonzalo García,Real Madrid,30,952,6,5.37,0.63,21,11,28.57,0.26
Eduardo Camavinga,Real Madrid,29,1526,1,1.18,-0.18,13,2,7.69,0.09
Álvaro Carreras,Real Madrid,28,2334,2,0.46,1.54,9,3,22.22,0.05
Dean Huijsen,Real Madrid,28,2037,2,2.26,-0.26,20,5,10.0,0.11
Jude Bellingham,Real Madrid,28,1917,6,7.26,-1.26,51,26,11.76,0.14
Raúl Asencio,Real Madrid,23,1706,2,1.24,0.76,14,4,14.29,0.09
Franco Mastantuono,Real Madrid,23,1037,1,3.09,-2.09,30,7,3.33,0.1
Trent Alexander-Arnold,Real Madrid,21,1163,0,0.32,-0.32,10,2,0.0,0.03
Antonio Rüdiger,Real Madrid,18,1492,1,0.92,0.08,13,1,7.69,0.07
Dani Carvajal,Real Madrid,17,976,0,0.36,-0.36,5,1,0.0,0.07
Éder Militão,Real Madrid,16,1141,2,1.78,0.22,21,9,9.52,0.08
Fran García,Real Madrid,13,929,1,0.9,0.1,6,2,16.67,0.15
Georges Mikautadze,Villarreal,32,2117,13,11.43,1.57,65,32,20.0,0.18
Nicolas Pépé,Villarreal,36,2396,8,8.27,-0.27,63,25,12.7,0.13
Gerard Moreno,Villarreal,22,1350,10,6.3,3.7,39,16,25.64,0.16
Alberto Moleiro,Villarreal,37,2490,10,5.77,4.23,46,20,21.74,0.13
Ayoze Pérez,Villarreal,25,1122,5,5.38,-0.38,24,11,20.83,0.22
Santi Comesaña,Villarreal,34,2413,3,4.17,-1.17,27,7,11.11,0.15
Pape Gueye,Villarreal,30,2143,5,3.93,1.07,47,13,10.64,0.08
Tajon Buchanan,Villarreal,34,1821,7,2.06,4.94,27,11,25.93,0.08
Alfonso Pedraza,Villarreal,27,1690,1,1.13,-0.13,11,3,9.09,0.1
Santiago Mouriño,Villarreal,28,2384,1,1.08,-0.08,15,3,6.67,0.07
Sergi Cardona,Villarreal,31,1965,1,1.01,-0.01,18,5,5.56,0.06
Dani Parejo,Villarreal,32,1390,1,0.96,0.04,31,3,3.33,0.32
Thomas Partey,Villarreal,25,923,0,0.7000000000000001,-0.7000000000000001,11,2,0.0,0.06
Rafa Marín,Villarreal,23,1980,1,0.37,0.63,5,1,20.0,0.07
Renato Veiga,Villarreal,32,2478,0,0.28,-0.28,9,3,0.0,0.03
Juan Foyth,Villarreal,13,936,0,0.12,-0.12,2,0,0.0,0.06
Pau Navarro,Villarreal,23,1924,0,0.07,-0.07,2,2,0.0,0.04
Alexander Sørloth,Atlético Madrid,35,1981,13,10.16,2.84,68,35,19.12,0.15
Julián Alvarez,Atlético Madrid,29,1902,8,7.7,0.3,54,26,14.81,0.14
Antoine Griezmann,Atlético Madrid,34,1468,7,7.61,-0.61,47,25,14.89,0.16
Giuliano Simeone,Atlético Madrid,31,2109,4,5.17,-1.17,36,14,11.11,0.14
Nico González,Atlético Madrid,24,1453,5,4.21,0.79,43,20,11.63,0.1
Thiago Almada,Atlético Madrid,27,1312,3,3.72,-0.72,21,10,14.29,0.18
Álex Baena,Atlético Madrid,27,1572,2,2.0,0.0,29,7,6.9,0.07
Marcos Llorente,Atlético Madrid,29,2184,0,1.98,-1.98,18,6,0.0,0.11
Pablo Barrios,Atlético Madrid,23,1666,1,1.79,-0.79,23,6,4.35,0.08
José María Giménez,Atlético Madrid,16,1177,0,1.74,-1.74,13,3,0.0,0.13
Rodrigo Mendoza,Atlético Madrid,24,1231,1,1.62,-0.62,17,4,5.88,0.1
Dávid Hancko,Atlético Madrid,30,2434,0,1.33,-1.33,21,5,0.0,0.06
Marc Pubill,Atlético Madrid,19,1382,1,0.92,0.08,11,4,9.09,0.08
Koke,Atlético Madrid,34,2220,2,0.72,1.28,14,4,14.29,0.05
Robin Le Normand,Atlético Madrid,28,1783,1,0.62,0.38,6,1,16.67,0.1
Nahuel Molina,Atlético Madrid,26,1321,2,0.48,1.52,14,4,14.29,0.03
Clément Lenglet,Atlético Madrid,19,1393,0,0.42,-0.42,5,0,0.0,0.08
Matteo Ruggeri,Atlético Madrid,26,1775,0,0.14,-0.14,5,2,0.0,0.03
Cucho Hernández,Real Betis,32,2592,11,11.08,-0.08,89,27,12.36,0.12
Abde Ezzalzouli,Real Betis,29,2255,10,9.2,0.8,73,26,13.7,0.13
Pablo Fornals,Real Betis,37,2865,9,3.92,5.08,44,19,20.45,0.09
Antony,Real Betis,32,2459,8,8.81,-0.81,90,34,8.89,0.1
Aitor Ruibal,Real Betis,27,1814,4,3.85,0.15,31,12,12.9,0.12
Héctor Bellerín,Real Betis,27,1820,2,0.43,1.57,7,5,28.57,0.06
Giovani Lo Celso,Real Betis,24,1396,2,2.47,-0.47,30,11,16.67,0.08
Sergi Altimira,Real Betis,24,1182,1,0.34,0.66,7,3,14.29,0.05
Marc Bartra,Real Betis,25,1978,1,0.78,0.22,16,5,6.25,0.05
Valentín Gómez,Real Betis,28,1875,1,0.8,0.2,11,5,9.09,0.07
Diego Llorente,Real Betis,18,1226,1,0.94,0.06,4,3,25.0,0.23
Marc Roca,Real Betis,29,2025,1,1.36,-0.36,17,7,5.88,0.08
Ricardo Rodríguez,Real Betis,23,1546,0,0.12,-0.12,3,0,0.0,0.04
Sofyan Amrabat,Real Betis,17,1296,0,0.28,-0.28,8,1,0.0,0.04
Natan,Real Betis,33,2810,0,0.5,-0.5,10,1,0.0,0.05
Borja Iglesias,Celta Vigo,35,1902,14,10.45,3.55,46,26,30.43,0.23
Ferran Jutglà,Celta Vigo,30,1663,9,6.73,2.27,45,26,20.0,0.15
Williot Swedberg,Celta Vigo,29,1268,5,4.25,0.75,23,12,21.74,0.18
Iago Aspas,Celta Vigo,32,1130,5,4.48,0.52,28,12,17.86,0.16
Hugo Álvarez,Celta Vigo,28,1337,4,2.74,1.26,14,8,28.57,0.2
Javi Rueda,Celta Vigo,26,1404,2,1.3,0.7000000000000001,11,3,18.18,0.12
Ilaix Moriba,Celta Vigo,36,2488,2,1.39,0.61,18,5,11.11,0.08
Sergio Carreira,Celta Vigo,34,2693,2,1.58,0.42,16,7,12.5,0.1
Pablo Durán,Celta Vigo,30,1424,2,4.26,-2.26,37,15,5.41,0.12
Óscar Mingueza,Celta Vigo,34,1967,1,0.63,0.37,14,5,7.14,0.04
Miguel Román,Celta Vigo,19,1310,1,0.91,0.09,8,1,12.5,0.11
Fer López,Celta Vigo,17,1174,1,1.57,-0.5700000000000001,13,5,7.69,0.12
Bryan Zaragoza,Celta Vigo,19,1135,1,2.01,-1.01,26,12,3.85,0.08
Marcos Alonso,Celta Vigo,32,2770,1,2.2,-1.2,24,3,4.17,0.09
Yoel Lago,Celta Vigo,12,940,0,0.03,-0.03,1,0,0.0,0.03
Hugo Sotelo,Celta Vigo,20,1342,0,0.09,-0.09,2,1,0.0,0.05
Álvaro Núñez,Celta Vigo,25,1984,0,0.29,-0.29,6,1,0.0,0.05
Carl Starfelt,Celta Vigo,19,1492,0,0.55,-0.55,4,1,0.0,0.14
Javi Rodríguez,Celta Vigo,33,2561,0,0.68,-0.68,13,2,0.0,0.05
Martín Satriano,Getafe,18,1604,6,4.34,1.66,35,14,17.14,0.12
Mauro Arambarri,Getafe,37,3255,6,7.16,-1.16,59,19,10.17,0.12
Borja Mayoral,Getafe,16,1059,4,3.05,0.95,15,7,26.67,0.2
Luis Vázquez,Getafe,17,1204,3,2.0,1.0,25,9,12.0,0.08
Adrián Liso,Getafe,28,1709,3,2.08,0.92,26,10,11.54,0.08
Mario Martín,Getafe,35,2134,2,2.63,-0.63,27,6,7.41,0.1
Kiko Femenía,Getafe,28,2020,1,0.6900000000000001,0.31,8,3,12.5,0.09
Domingos Duarte,Getafe,34,2928,1,0.86,0.14,13,4,7.69,0.07
Zaid Romero,Getafe,15,1350,1,0.9,0.1,10,2,10.0,0.09
Juan Iglesias,Getafe,37,3189,1,1.06,-0.06,26,5,3.85,0.04
Luis Milla,Getafe,37,3273,1,1.22,-0.22,27,4,3.7,0.05
Djené Dakonam,Getafe,34,2585,0,0.13,-0.13,4,0,0.0,0.03
