name,club,apps,mins,carries_total,carries_distance,carries_avg,progressive_total,progressive_distance,progressive_avg,ended_with_shot,ended_with_goal,ended_with_chance,ended_with_assist
Pau Cubarsí,Barcelona,31,2708,729,7384.8,10.1,373,3668.4,9.8,3,0,3,0
Pedri,Barcelona,29,2107,698,7448.2,10.7,334,3448.7,10.3,8,2,19,7
Lamine Yamal,Barcelona,28,2268,671,7493.6,11.2,381,4084.1,10.7,50,7,36,5
Gerard Martín,Barcelona,30,2124,425,4038.5,9.5,244,2284.2,9.4,3,0,2,0
Frenkie de Jong,Barcelona,25,1631,418,4904.1,11.7,230,2667.3,11.6,0,0,6,2
Eric García,Barcelona,34,2730,360,3470.1,9.6,197,1914.2,9.7,4,0,6,0
Jules Koundé,Barcelona,30,2261,337,3109.7,9.2,196,1692.1,8.6,2,0,4,0
Fermín López,Barcelona,30,1797,312,3277.3,10.5,141,1253.0,8.9,16,3,11,5
Alejandro Balde,Barcelona,26,1874,304,3454.4,11.4,159,1578.4,9.9,7,0,5,1
Marcus Rashford,Barcelona,32,1761,292,3711.7,12.7,167,2089.0,12.5,23,1,8,1
Dani Olmo,Barcelona,33,2077,243,2505.2,10.3,107,1030.8,9.6,12,1,10,2
Raphinha,Barcelona,22,1388,226,2392.6,10.6,130,1323.1,10.2,23,5,12,0
Marc Casadó,Barcelona,20,981,191,1718.9,9.0,77,579.0,7.5,0,0,2,0
João Cancelo,Barcelona,16,952,189,2255.2,11.9,125,1343.9,10.8,5,2,4,0
Ronald Araujo,Barcelona,24,1061,176,1975.4,11.2,98,1129.2,11.5,2,0,0,0
Ferran Torres,Barcelona,26,1976,101,1059.2,10.5,42,266.7,6.3,8,4,4,0
Robert Lewandowski,Barcelona,25,1656,71,713.4,10.0,32,248.2,7.8,9,2,3,0
Vinícius Júnior,Real Madrid,36,2825,702,9269.9,13.2,419,5084.7,12.1,49,6,43,5
Federico Valverde,Real Madrid,33,2746,444,4946.1,11.1,210,2222.2,10.6,10,2,9,2
Dean Huijsen,Real Madrid,27,2037,432,4500.1,10.4,266,2954.7,11.1,3,0,3,0
Kylian Mbappé,Real Madrid,31,2604,411,5239.1,12.7,222,3032.5,13.7,38,5,20,1
Aurélien Tchouaméni,Real Madrid,33,2622,393,3890.8,9.9,180,1711.2,9.5,1,0,7,0
Álvaro Carreras,Real Madrid,27,2334,369,4005.6,10.9,208,2075.2,10.0,4,1,15,1
Jude Bellingham,Real Madrid,27,1917,369,3961.8,10.7,153,1555.9,10.2,13,2,8,2
Arda Güler,Real Madrid,32,2026,363,3626.7,10.0,150,1167.9,7.8,9,0,14,2
Antonio Rüdiger,Real Madrid,18,1492,256,2218.7,8.7,118,1014.8,8.6,1,0,1,0
Raúl Asencio,Real Madrid,23,1706,244,2362.1,9.7,137,1323.9,9.7,1,0,2,0
Eduardo Camavinga,Real Madrid,27,1526,234,2458.9,10.5,98,844.5,8.6,2,0,3,0
Franco Mastantuono,Real Madrid,23,1037,224,2514.5,11.2,7,1374.7,5.3,7,1,3,0
Brahim Díaz,Real Madrid,29,1252,183,2129.9,11.6,88,962.3,10.9,3,1,8,2
Éder Militão,Real Madrid,16,1141,175,1679.4,9.6,78,842.0,10.8,1,1,2,0
Trent Alexander-Arnold,Real Madrid,19,1163,173,1573.6,9.1,79,564.4,7.1,1,0,3,1
Fran García,Real Madrid,13,929,111,1370.2,12.3,62,750.8,12.1,3,0,1,1
Dani Carvajal,Real Madrid,15,976,78,670.2,8.6,38,198.7,5.2,0,0,5,1
Gonzalo García,Real Madrid,21,952,66,666.0,10.1,28,159.8,5.7,6,1,4,0
Nicolas Pépé,Villarreal,36,2396,415,5277.9,12.7,233,2662.2,11.4,25,4,22,4
Renato Veiga,Villarreal,30,2478,315,3368.8,10.7,184,1948.0,10.6,3,0,0,0
