name,club,apps,mins,tackles,interceptions,possession_won,blocks,clearances,ground_duels_total,ground_duels_won,ground_duels_pct,aerial_duels_total,aerial_duels_won,aerial_duels_pct,open_play_total
Pedri,Barcelona,29,2107,50,24,163,2,23,219,131,59.8%,12,10,83.3%,
Eric García,Barcelona,34,2730,74,48,113,7,81,169,99,58.6%,81,44,54.3%,
Pau Cubarsí,Barcelona,31,2708,42,30,104,11,114,79,45,57.1%,104,65,62.5%,
Dani Olmo,Barcelona,33,2077,33,14,102,1,23,183,91,49.7%,33,20,60.6%,
Lamine Yamal,Barcelona,28,2268,35,10,99,0,3,409,220,53.8%,5,0,0.0%,
Alejandro Balde,Barcelona,28,1874,35,5,92,1,10,231,138,59.7%,20,10,50.0%,
Jules Koundé,Barcelona,30,2261,47,30,91,1,12,134,72,53.8%,62,35,56.5%,
Frenkie de Jong,Barcelona,25,1631,45,17,86,4,15,111,77,69.4%,16,8,50.0%,
Fermín López,Barcelona,30,1797,48,7,82,0,6,221,112,50.7%,23,8,34.8%,
Gerard Martín,Barcelona,32,2124,40,29,72,8,11,182,53,64.6%,63,43,68.3%,
João Cancelo,Barcelona,16,952,27,10,57,2,17,119,66,55.5%,13,7,53.8%,
Ronald Araujo,Barcelona,24,1061,21,9,48,5,38,42,24,57.1%,58,39,67.2%,
Raphinha,Barcelona,22,1388,15,5,47,1,1,102,46,45.1%,7,3,42.9%,
Marcus Rashford,Barcelona,32,1761,8,2,44,3,1,41,16,39.1%,10,4,44.0%,
Marc Casadó,Barcelona,24,981,18,7,41,3,8,81,40,49.4%,13,7,53.8%,
Ferran Torres,Barcelona,33,1976,7,3,36,1,1,93,35,37.6%,43,25,58.1%,
Robert Lewandowski,Barcelona,31,1656,5,3,31,0,2,87,33,37.9%,52,25,48.1%,
Álvaro Carreras,Real Madrid,28,2334,41,39,155,6,60,172,92,53.5%,58,32,55.2%,
Aurélien Tchouaméni,Real Madrid,33,2622,68,47,144,13,55,155,98,63.2%,95,72,75.8%,
Federico Valverde,Real Madrid,33,2746,41,24,142,8,51,128,78,60.9%,35,22,62.9%,
Jude Bellingham,Real Madrid,28,1917,51,14,105,2,18,246,142,57.7%,61,35,57.4%,
Arda Güler,Real Madrid,33,2026,46,9,101,2,9,178,105,59.0%,13,4,30.8%,
Vinícius Júnior,Real Madrid,36,2825,29,2,88,0,1,397,197,49.6%,6,0,0.0%,
Eduardo Camavinga,Real Madrid,29,1526,65,14,84,1,12,171,109,63.7%,18,10,55.6%,
Dean Huijsen,Real Madrid,28,2037,31,19,74,16,129,72,46,63.9%,83,50,60.2%,
Brahim Díaz,Real Madrid,30,1252,15,2,59,0,4,149,77,51.7%,10,2,20.0%,
Antonio Rüdiger,Real Madrid,18,1492,14,4,45,7,45,22,9,45.2%,43,30,69.8%,
Éder Militão,Real Madrid,16,1141,23,11,56,12,52,59,39,66.1%,47,26,55.3%,
Raúl Asencio,Real Madrid,23,1706,17,10,52,13,57,68,41,60.3%,37,21,56.8%,
Trent Alexander-Arnold,Real Madrid,21,1163,14,14,49,2,10,55,24,43.6%,8,5,62.5%,
Kylian Mbappé,Real Madrid,31,2604,4,2,44,0,0,247,118,47.8%,10,7,70.0%,
Franco Mastantuono,Real Madrid,23,1037,20,3,39,0,3,164,75,45.7%,13,5,38.5%,
Dani Carvajal,Real Madrid,17,976,14,6,37,7,21,49,25,51.0%,12,5,41.7%,
Fran García,Real Madrid,13,929,19,7,34,4,2,26,13,59.0%,20,7,35.0%,
Gonzalo García,Real Madrid,30,952,1,1,32,3,0,95,54,35.2%,38,21,55.3%,
Koke,Atlético Madrid,34,2220,50,18,131,7,25,151,75,49.7%,29,13,44.8%,
Marcos Llorente,Atlético Madrid,29,2184,59,12,124,2,53,151,83,55.0%,23,10,43.5%,
Pablo Barrios,Atlético Madrid,23,1666,30,27,114,2,12,142,78,54.8%,32,18,56.3%,
Giuliano Simeone,Atlético Madrid,31,2109,45,18,111,1,11,235,114,48.5%,45,26,57.8%,
Matteo Ruggeri,Atlético Madrid,26,1775,36,20,98,3,65,112,43,38.4%,44,26,59.1%,
Dávid Hancko,Atlético Madrid,30,2434,43,19,86,11,101,105,55,52.4%,74,42,56.8%,
Nahuel Molina,Atlético Madrid,26,1321,40,13,80,5,32,114,60,52.6%,22,7,31.8%,
Thiago Almada,Atlético Madrid,27,1312,29,8,72,2,26,139,66,47.5%,16,5,31.3%,
Antoine Griezmann,Atlético Madrid,34,1468,14,8,64,2,13,74,33,44.6%,31,11,35.5%,
Álex Baena,Atlético Madrid,27,1572,18,1,66,3,4,121,14,43.3%,28,7,25.0%,
Nico González,Atlético Madrid,24,1453,24,12,61,3,27,121,57,47.1%,82,50,61.0%,
Marc Pubill,Atlético Madrid,19,1382,25,20,60,1,58,56,36,64.2%,76,59,77.6%,
Rodrigo Mendoza,Atlético Madrid,24,1231,16,4,60,2,1,31,13,42.0%,29,7,24.1%,
Robin Le Normand,Atlético Madrid,28,1783,35,20,56,7,98,82,49,59.8%,76,51,67.1%,
Julián Alvarez,Atlético Madrid,29,1902,21,3,51,0,5,151,65,43.0%,24,5,20.8%,
Clément Lenglet,Atlético Madrid,19,1393,21,12,25,0,6,73,37,50.8%,55,30,54.5%,
José María Giménez,Atlético Madrid,16,1177,25,16,47,1,26,46,25,54.4%,74,37,50.0%,
Alexander Sørloth,Atlético Madrid,35,1981,1,4,0,3,4,22,5,33.1%,161,94,58.4%,
Pablo Fornals,Real Betis,37,2865,39,34,159,3,20,209,89,42.6%,54,15,27.8%,
Antony,Real Betis,32,2459,39,24,123,1,17,205,110,53.7%,21,7,33.3%,
Abde Ezzalzouli,Real Betis,29,2255,53,16,120,1,14,301,163,54.2%,74,31,41.9%,
Marc Roca,Real Betis,29,2025,38,23,103,9,39,156,72,46.2%,25,9,36.0%,
Natan,Real Betis,33,2810,32,36,100,23,21,179,144,48.4%,124,69,55.6%,
Sofyan Amrabat,Real Betis,17,1296,27,11,98,4,15,92,52,56.5%,12,4,33.3%,
Aitor Ruibal,Real Betis,27,1814,45,21,98,3,45,174,84,48.3%,20,7,35.0%,
Cucho Hernández,Real Betis,32,2592,28,9,81,22,52,202,93,46.0%,90,38,42.2%,
Sergi Altimira,Real Betis,24,1182,51,21,79,4,20,119,76,63.9%,25,17,68.0%,
Marc Bartra,Real Betis,25,1978,45,27,77,8,24,159,103,62.0%,73,43,58.9%,
Giovani Lo Celso,Real Betis,24,1396,19,6,74,0,7,135,77,57.0%,18,10,55.6%,
Valentín Gómez,Real Betis,28,1875,46,24,74,13,11,31,23,69.6%,74,43,58.1%,
Héctor Bellerín,Real Betis,27,1820,31,14,59,4,7,90,42,46.7%,29,17,58.6%,
Diego Llorente,Real Betis,18,1226,27,28,50,9,9,65,53,65.5%,60,34,56.7%,
Ricardo Rodríguez,Real Betis,23,1546,24,8,44,4,3,67,59,30.5%,30,16,53.3%,
Marcos Alonso,Celta Vigo,32,2770,41,28,154,1,71,61,11,37.7%,81,48,59.3%,
Sergio Carreira,Celta Vigo,34,2693,32,25,107,3,65,167,93,55.7%,34,11,32.4%,
Ilaix Moriba,Celta Vigo,36,2488,87,26,101,7,32,225,81,58.0%,47,15,31.9%,
