name,club,apps,mins,goals_conceded,saves_made,save_percentage,xgot_conceded,goals_prevented,gp_rate
Joan García,Barcelona,30,2700,21,74,77.9,31.7,10.7,1.5
David Soria,Getafe,38,3420,38,118,75.6,45.0,9.0,1.3
Aarón Escandell,Las Palmas,36,3240,56,148,72.5,62.0,6.0,1.1
Marko Dmitrovic,Espanyol,37,3330,54,133,71.1,56.4,4.4,1.1
Leo Román,Mallorca,33,2970,50,100,66.7,52.2,4.2,1.1
Paulo Gazzaniga,Girona,35,3103,47,116,71.2,49.4,3.4,1.1
Iñaki Peña,Elche,16,1440,28,55,66.3,30.8,2.8,1.1
Mathew Ryan,Levante,36,3240,56,126,69.2,56.6,2.6,1.0
Augusto Batalla,Rayo Vallecano,34,3060,37,92,71.3,38.6,2.6,1.1
Stole Dimitrievski,Valencia,20,1800,25,52,67.5,25.0,2.0,1.0
Thibaut Courtois,Real Madrid,32,2880,28,70,71.4,28.4,1.4,1.0
Odysseas Vlachodimos,Sevilla,33,2970,52,89,63.1,53.4,1.4,1.0
Sergio Herrera,Osasuna,37,3285,47,113,70.6,48.3,1.3,1.0
Luiz Júnior,Villarreal,28,2520,30,73,70.9,29.3,1.3,1.0
Jan Oblak,Atletico Madrid,30,2700,31,75,70.8,31.5,0.5,1.0
Antonio Sivera,Alaves,38,3420,56,97,63.4,55.4,0.4,1.0
Matías Dituro,Elche,22,1980,29,64,68.8,28.1,-0.9,1.0
Álvaro Valles,Real Betis,28,2520,36,88,71.0,33.9,-1.1,0.9
Arnau Tenas,Villarreal,10,900,16,30,65.2,14.7,-1.3,0.9
Ionut Radu,Celta Vigo,38,3420,48,113,70.2,45.5,-1.5,1.0
Unai Simón,Athletic Bilbao,37,3330,54,100,64.9,50.8,-2.2,0.9
Julen Agirrezabala,Valencia,18,1620,30,54,64.3,26.1,-2.9,0.9
Álex Remiro,Real Sociedad,37,3330,60,99,62.3,53.5,-3.5,0.9
