name,club,apps,mins,open_play_total,open_play_successful,open_play_pct,final_third_total,final_third_successful,final_third_pct,crosses_total,crosses_successful,crosses_pct,through_balls
Pau Cubarsí,Barcelona,31,2708,2768,2628,94.9%,287,247,86.1%,0,0,0.0%,5
Eric García,Barcelona,34,2730,2349,2165,92.2%,558,491,88.0%,14,1,7.1%,7
Pedri,Barcelona,29,2107,2055,1882,91.6%,772,664,86.0%,13,5,38.5%,21
Gerard Martín,Barcelona,32,2124,1946,1779,91.4%,343,283,82.5%,14,2,14.3%,0
Jules Koundé,Barcelona,30,2261,1922,1760,91.6%,507,426,84.0%,40,12,30.0%,3
Frenkie de Jong,Barcelona,25,1631,1502,1415,94.2%,508,468,92.1%,6,4,66.7%,4
Alejandro Balde,Barcelona,28,1874,1194,1096,91.8%,383,336,87.7%,28,6,21.4%,2
Lamine Yamal,Barcelona,28,2268,1349,1094,81.1%,759,569,75.0%,64,18,28.1%,22
Dani Olmo,Barcelona,33,2077,1215,1036,85.3%,502,397,79.1%,13,4,30.8%,14
Marc Casadó,Barcelona,24,981,898,817,91.0%,215,177,82.3%,3,2,66.7%,3
Fermín López,Barcelona,30,1797,890,778,87.4%,373,293,78.5%,32,5,15.6%,19
Ronald Araujo,Barcelona,24,1061,838,771,92.0%,100,72,72.0%,7,0,0.0%,1
Marcus Rashford,Barcelona,32,1761,773,655,84.7%,452,369,81.6%,5,0,0.0%,2
Raphinha,Barcelona,22,1388,639,519,81.2%,333,249,74.8%,378,82,21.6%,5
João Cancelo,Barcelona,16,952,546,476,87.2%,179,135,75.4%,27,8,29.6%,5
Ferran Torres,Barcelona,33,1976,471,357,75.8%,212,142,67.0%,3,1,33.3%,3
Robert Lewandowski,Barcelona,31,1656,333,268,80.5%,146,103,70.5%,0,0,0.0%,2
Aurélien Tchouaméni,Real Madrid,33,2622,1913,1751,91.5%,497,428,86.1%,7,1,14.3%,6
Federico Valverde,Real Madrid,33,2746,1904,1716,90.1%,678,577,85.1%,28,6,21.4%,8
Álvaro Carreras,Real Madrid,28,2334,1723,1561,90.6%,627,555,88.5%,31,3,9.7%,1
Dean Huijsen,Real Madrid,28,2037,1661,1492,89.8%,333,253,76.0%,1,0,0.0%,1
Arda Güler,Real Madrid,33,2026,1345,1220,90.7%,608,518,85.2%,26,6,23.1%,17
Raúl Asencio,Real Madrid,23,1706,1185,1114,94.0%,140,114,81.4%,1,0,0.0%,2
Antonio Rüdiger,Real Madrid,18,1492,1172,1091,93.1%,133,95,71.4%,2,0,0.0%,3
Jude Bellingham,Real Madrid,28,1917,1177,1050,89.2%,447,365,81.7%,16,4,25.0%,4
Eduardo Camavinga,Real Madrid,29,1526,1086,997,91.8%,340,291,85.6%,2,0,0.0%,7
Vinícius Júnior,Real Madrid,36,2825,1129,939,83.2%,700,555,79.3%,58,8,13.8%,10
Kylian Mbappé,Real Madrid,31,2604,998,863,86.5%,608,504,82.9%,26,6,23.1%,7
Trent Alexander-Arnold,Real Madrid,21,1163,821,700,85.3%,281,213,75.8%,68,13,19.1%,4
Éder Militão,Real Madrid,16,1141,767,697,90.9%,126,87,69.0%,1,0,0.0%,2
Dani Carvajal,Real Madrid,17,976,529,487,92.1%,142,123,86.6%,11,3,27.3%,2
Brahim Díaz,Real Madrid,30,1252,531,481,90.6%,242,208,86.0%,13,5,38.5%,4
Franco Mastantuono,Real Madrid,23,1037,492,443,90.0%,203,172,84.7%,13,4,30.8%,8
Fran García,Real Madrid,13,929,444,395,89.0%,137,117,85.4%,28,6,21.4%,0
Gonzalo García,Real Madrid,30,952,241,205,85.1%,79,62,78.5%,3,0,0.0%,2
