club,played,touches_in_box,hit_woodwork,offsides,penalties_total,penalties_goals,free_kicks_total,free_kicks_goals,headers_total,headers_goals,fast_breaks_total,fast_breaks_goals
Barcelona,38,1340,31,83,10,7,27,2,73,11,37,11
Real Madrid,38,1333,16,78,14,12,19,0,83,8,46,8
Atlético Madrid,38,1060,15,79,4,3,10,2,105,12,33,8
Athletic Bilbao,38,978,12,52,6,5,20,0,95,5,18,4
Villarreal,38,945,11,68,7,7,5,0,43,5,57,14
Osasuna,38,879,11,51,8,6,14,2,105,11,32,2
Real Betis,38,860,17,63,3,3,16,1,67,7,72,8
Girona,38,824,10,73,8,7,13,0,58,3,31,3
Real Sociedad,38,820,10,90,9,8,9,1,80,8,32,7
Sevilla,38,812,9,102,6,5,10,0,73,5,36,6
Valencia,38,812,14,65,9,5,16,0,77,10,32,6
Levante,38,792,16,59,6,2,18,1,100,12,41,5
Alaves,38,778,12,74,7,7,10,1,82,6,29,1
Elche,38,768,7,59,5,4,9,1,85,3,23,5
Rayo Vallecano,38,753,11,79,5,3,25,0,80,6,46,4
Celta Vigo,38,749,5,76,8,8,6,0,45,2,25,3
Espanyol,38,731,7,70,5,3,15,0,116,11,33,5
Mallorca,38,706,5,50,7,5,15,0,101,9,23,4
Real Oviedo,38,637,10,78,3,2,4,0,77,7,22,3
Getafe,38,582,4,91,4,2,6,0,86,8,14,1
