club,played,goals,xg,goals_vs_xg,shots,sot,conversion_pct,xg_per_shot
Barcelona,38,95,86.62,8.38,692,257,13.73,0.13
Real Madrid,38,77,78.0,-1.0,665,253,11.58,0.12
Villarreal,38,72,59.04,12.96,455,172,15.82,0.13
Atlético Madrid,38,62,58.87,3.13,498,193,12.45,0.12
Real Betis,38,59,55.63,3.37,541,184,10.91,0.1
Real Sociedad,38,59,54.42,4.58,469,175,12.58,0.12
Rayo Vallecano,38,41,53.19,-12.19,531,184,7.72,0.1
Levante,38,47,52.76,-5.76,476,147,9.87,0.11
Athletic Bilbao,38,43,50.6,-7.6,522,172,8.24,0.1
Celta Vigo,38,53,49.52,3.48,382,153,13.87,0.13
Valencia,38,46,49.19,-3.19,449,123,10.24,0.11
Espanyol,38,43,48.94,-5.94,480,158,8.96,0.1
Girona,38,39,48.2,-9.2,425,157,9.18,0.11
Alaves,38,44,47.05,-3.05,463,153,9.5,0.1
Osasuna,38,44,45.95,-1.95,450,151,9.78,0.1
Mallorca,38,47,43.5,3.5,413,158,11.38,0.1
Elche,38,49,42.58,6.42,410,145,11.95,0.1
Sevilla,38,46,39.28,6.72,437,137,10.53,0.09
Real Oviedo,38,26,35.84,-9.84,376,119,6.91,0.1
Getafe,38,32,30.59,1.41,352,105,9.09,0.09
