club,played,goals,shots,xg,goal_pct,shot_pct,xg_pct
Real Madrid,38,13,175,14.75,16.88,26.32,18.91
Espanyol,38,14,170,14.39,32.56,35.42,29.4
Levante,38,16,162,13.82,34.04,34.03,26.19
Real Sociedad,38,9,148,12.04,15.25,31.56,22.12
Osasuna,38,15,144,12.04,34.09,32.0,26.21
Barcelona,38,15,155,11.48,15.79,22.4,13.25
Alaves,38,11,135,11.0,25.0,29.16,23.37
Atlético Madrid,38,12,132,11.0,19.35,26.51,18.68
Athletic Bilbao,38,6,139,10.55,13.95,26.63,20.85
Rayo Vallecano,38,7,147,9.75,17.07,27.68,18.34
Valencia,38,10,129,9.58,21.74,28.73,19.47
Real Oviedo,38,10,111,9.57,38.46,29.52,26.69
Real Betis,38,9,123,9.47,15.25,22.74,17.01
Girona,38,6,98,8.93,15.38,23.06,18.52
Getafe,38,12,152,8.89,37.5,43.18,29.07
Villarreal,38,7,103,7.81,9.72,22.64,13.22
Mallorca,38,8,112,7.73,17.02,27.12,17.77
Sevilla,38,5,121,6.59,10.87,27.69,16.77
Celta Vigo,38,7,78,6.27,13.21,20.42,12.65
Elche,38,7,93,5.81,14.29,22.68,13.64
