club,played,touches_in_box,hit_woodwork,offsides,penalties_total,penalties_goals,free_kicks_total,free_kicks_goals,headers_total,headers_goals,fast_breaks_total,fast_breaks_goals
Girona,38,1025,11,57,6,5,14,1,103,12,49,3
Real Oviedo,38,1007,10,46,7,5,11,1,96,9,38,6
Levante,38,998,13,64,4,3,6,0,107,8,34,9
Mallorca,38,976,9,64,8,6,12,1,86,9,37,2
Villarreal,38,946,4,47,8,7,20,1,85,9,21,3
Espanyol,38,928,11,58,5,5,15,1,95,8,42,6
Real Sociedad,38,918,10,63,5,5,10,0,91,13,46,6
Elche,38,903,10,69,7,6,12,0,86,6,49,10
Celta Vigo,38,899,10,75,11,6,15,0,93,6,18,2
Rayo Vallecano,38,895,9,35,8,6,18,0,72,6,33,6
Valencia,38,886,5,100,8,6,14,0,67,7,30,2
Osasuna,38,855,3,70,9,9,11,0,68,8,25,5
Alaves,38,854,10,55,5,5,13,0,94,7,30,8
Real Betis,38,812,0,118,7,4,15,1,70,6,22,3
Sevilla,38,787,4,30,11,9,7,1,68,7,33,6
Atlético Madrid,38,752,9,59,6,5,15,0,82,7,27,7
Getafe,38,715,11,104,4,1,15,0,105,9,38,9
Barcelona,38,699,3,164,5,4,8,0,54,2,46,5
Real Madrid,38,694,10,35,4,4,11,2,59,5,26,3
Athletic Bilbao,38,610,4,127,6,3,7,2,50,5,38,7
