club,played,goals,xg,goals_vs_xg,shots,sot,conv_pct,xg_per_shot,shots_in_box_pct,goals_in_box_pct
Mallorca,38,57,62.66,-5.66,541,170,10.54,0.12,62.66,84.21
Elche,38,57,62.61,-5.61,526,183,10.84,0.12,65.78,78.95
Levante,38,61,60.69,0.31,584,197,10.45,0.1,64.04,78.69
Real Oviedo,38,60,60.05,-0.05,567,211,10.58,0.11,62.61,86.67
Real Sociedad,38,61,57.72,3.28,529,169,11.53,0.11,63.71,88.52
Sevilla,38,60,57.23,2.77,402,159,14.93,0.14,70.15,88.33
Girona,38,55,56.39,-1.39,552,180,9.96,0.1,67.75,85.45
Espanyol,38,55,55.31,-0.31,521,195,10.56,0.11,68.33,80.0
Celta Vigo,38,48,49.7,-1.7,478,160,10.04,0.1,64.44,83.33
Rayo Vallecano,38,44,49.48,-5.48,465,159,9.46,0.11,64.73,88.64
Osasuna,38,50,49.38,0.62,474,172,10.55,0.1,58.44,78.0
Atlético Madrid,38,44,48.98,-4.98,441,142,9.98,0.11,61.45,81.82
Alaves,38,56,47.67,8.33,473,154,11.84,0.1,64.69,87.5
Valencia,38,55,47.51,7.49,446,158,12.33,0.11,65.7,83.64
Real Betis,38,48,46.91,1.09,469,171,10.23,0.1,62.05,75.0
Villarreal,38,46,46.15,-0.15,486,147,9.46,0.1,60.91,84.78
Barcelona,38,36,45.33,-9.33,346,132,10.4,0.13,77.75,91.67
Getafe,38,38,42.62,-4.62,420,154,9.05,0.1,64.05,73.68
Athletic Bilbao,38,58,42.24,15.76,357,161,16.25,0.12,64.43,79.31
Real Madrid,38,35,41.17,-6.17,409,122,8.56,0.1,62.84,77.14
