club,played,goals,shots,xg,goal_pct,shot_pct,xg_pct
Real Sociedad,38,17,126,10.66,27.87,23.82,18.47
Real Oviedo,38,15,152,12.42,25.0,26.81,20.69
Levante,38,13,166,11.1,21.31,28.42,18.3
Celta Vigo,38,12,126,9.73,25.0,26.36,19.58
Valencia,38,12,130,10.41,21.82,29.15,21.92
Mallorca,38,11,150,13.04,19.3,27.73,20.82
Sevilla,38,10,109,8.61,16.67,27.11,15.05
Rayo Vallecano,38,10,157,11.06,22.73,33.76,22.35
Real Betis,38,10,130,9.29,20.83,27.72,19.81
Getafe,38,10,152,10.92,26.32,36.19,25.63
Girona,38,10,141,9.79,18.18,25.54,17.36
Athletic Bilbao,38,9,88,5.53,15.52,24.65,13.08
Atlético Madrid,38,9,133,11.22,20.45,30.16,22.9
Espanyol,38,9,147,11.19,16.36,28.21,20.23
Elche,38,9,123,9.17,15.79,23.38,14.65
Barcelona,38,8,97,8.91,22.22,28.03,19.66
Osasuna,38,8,128,9.19,16.0,27.0,18.61
Alaves,38,6,154,12.54,10.71,32.56,26.31
Villarreal,38,6,124,8.85,13.04,25.51,19.18
Real Madrid,38,5,94,7.79,14.29,22.98,18.93
