club,subs_used,subs_goals,errors_lead_to_shot,errors_lead_to_goal,fouled,yellows,reds,pens_won,fouls,opp_yellows,opp_reds,pens_conceded
Atlético Madrid,184,18,22,4,345,77,5,4,399,75,2,6
Barcelona,184,18,22,3,433,59,2,10,348,89,8,5
Celta Vigo,190,17,34,8,447,71,1,8,425,81,8,11
Espanyol,184,12,18,5,457,85,5,5,477,92,2,5
Rayo Vallecano,188,11,23,2,397,97,9,5,482,82,5,8
Real Sociedad,187,11,27,7,435,88,4,9,519,88,6,5
Sevilla,178,10,35,7,458,105,5,6,531,80,3,11
Osasuna,175,10,16,7,415,91,7,8,485,87,5,9
Girona,172,10,32,8,521,76,7,8,387,80,2,6
Levante,189,9,18,3,464,84,5,6,446,78,8,4
Athletic Bilbao,189,8,27,6,391,73,7,6,497,75,4,6
Valencia,187,8,23,7,431,71,3,9,440,82,7,8
Villarreal,184,8,42,13,444,77,3,7,427,76,3,8
Elche,190,8,30,7,538,77,7,5,482,85,3,7
Real Betis,163,7,19,6,466,72,2,3,370,92,4,7
Alaves,172,6,19,4,489,86,5,7,539,75,6,5
Real Madrid,171,6,27,5,522,68,7,14,359,79,10,4
Mallorca,175,4,20,7,443,79,5,7,443,74,10,8
Real Oviedo,186,2,40,13,420,73,10,3,449,53,5,7
Getafe,145,2,23,8,531,103,8,4,542,89,6,4
