club,played,pressed_seqs,ppda,start_distance,high_turnovers_total,high_turnovers_shot_ending,high_turnovers_goal_ending,high_turnovers_shot_pct
Athletic Bilbao,38,557,11.2,45.0,368,61,3,16.58
Barcelona,38,471,8.7,43.9,294,51,10,17.35
Real Madrid,38,415,11.5,43.3,279,65,11,23.3
Real Sociedad,38,429,10.4,42.8,256,48,4,18.75
Getafe,38,497,11.7,42.7,250,28,1,11.2
Atlético Madrid,38,427,12.2,42.3,267,31,5,11.61
Real Betis,38,382,13.6,42.0,269,58,7,21.56
Sevilla,38,390,10.6,41.9,248,39,4,15.73
Osasuna,38,417,13.3,41.7,252,33,1,13.1
Alaves,38,416,11.5,41.4,233,44,4,18.88
Valencia,38,398,13.5,41.4,252,40,4,15.87
Espanyol,38,438,12.9,41.3,238,43,2,18.07
Rayo Vallecano,38,400,9.9,41.3,244,42,2,17.21
Mallorca,38,342,13.4,40.7,224,27,3,12.05
Levante,38,398,13.6,40.7,234,40,5,17.09
Real Oviedo,38,293,12.8,40.1,211,34,2,16.11
Elche,38,398,9.8,39.9,226,44,3,19.47
Girona,38,359,14.5,39.9,233,30,1,12.88
Celta Vigo,38,350,13.9,39.5,214,33,5,15.42
Villarreal,38,367,15.1,38.9,218,23,3,10.55
