club,played,passes_10_plus,direct_speed,passes_per_seq,sequence_time,buildups_total,buildups_goals,direct_attacks_total,direct_attacks_goals
Espanyol,38,221,2.11,2.91,7.7,37,2,43,2
Athletic Bilbao,38,276,2.03,3.08,8.12,57,2,42,5
Villarreal,38,352,1.99,3.48,9.28,75,4,90,12
Real Betis,38,447,1.98,3.83,10.3,82,2,83,7
Osasuna,38,266,1.98,3.16,8.62,53,2,59,3
Getafe,38,65,1.95,2.19,5.62,9,0,18,1
Levante,38,240,1.92,2.93,7.86,39,2,53,5
Real Sociedad,38,391,1.91,3.56,9.48,49,4,46,4
Sevilla,38,320,1.89,3.29,8.86,50,3,53,3
Mallorca,38,301,1.87,3.35,9.33,54,3,46,3
Rayo Vallecano,38,310,1.83,3.28,8.8,45,1,67,1
Valencia,38,297,1.83,3.29,9.18,62,3,48,6
Alaves,38,299,1.81,3.14,8.01,56,2,47,1
Real Madrid,38,724,1.74,4.91,13.55,169,14,103,7
Real Oviedo,38,276,1.72,3.26,9.25,42,1,37,2
Atlético Madrid,38,495,1.7,4.16,11.03,124,6,64,2
Elche,38,488,1.69,3.81,10.58,94,2,46,6
Barcelona,38,845,1.68,5.19,14.22,231,10,65,9
Girona,38,445,1.64,3.86,11.36,86,4,58,3
Celta Vigo,38,528,1.6,4.38,11.65,110,6,53,4
