club,played,goals,xg,goals_vs_xg,shots,sot,conv_pct,xg_per_shot
Barcelona,38,88,78.73,9.27,682,250,12.90%,0.12
Real Madrid,38,65,66.96,-1.96,651,239,9.98%,0.1
Atlético Madrid,38,59,55.71,3.29,494,189,11.94%,0.11
Villarreal,38,65,53.52,11.48,448,165,14.51%,0.12
Real Betis,38,56,53.27,2.73,538,181,10.41%,0.1
Rayo Vallecano,38,38,49.25,-11.25,526,180,7.22%,0.09
Levante,38,45,48.02,-3.02,470,143,9.57%,0.1
Real Sociedad,38,51,47.33,3.67,460,167,11.09%,0.1
Athletic Bilbao,38,38,45.87,-7.87,516,166,7.36%,0.09
Espanyol,38,40,45.0,-5.0,475,153,8.42%,0.1
Celta Vigo,38,45,43.21,1.79,374,145,12.03%,0.12
Valencia,38,41,42.1,-1.1,440,116,9.32%,0.1
Girona,38,32,41.89,-9.89,417,149,7.67%,0.1
Alaves,38,37,41.54,-4.54,456,146,8.11%,0.09
Osasuna,38,38,39.64,-1.6400000000000001,442,144,8.60%,0.09
Elche,38,45,38.63,6.37,405,140,11.11%,0.1
Mallorca,38,42,37.98,4.02,406,152,10.34%,0.09
Sevilla,38,41,34.55,6.45,431,131,9.51%,0.08
Real Oviedo,38,24,33.48,-9.48,373,116,6.43%,0.09
Getafe,38,30,27.43,2.57,348,102,8.62%,0.08
