club,played,avg_possession_pct,tackles,interceptions,possession_won,blocks,clearances,ground_duels_won_pct,aerial_duels_won_pct
Barcelona,38,68.8%,618,280,1756,95,716,53.2%,57.7%
Real Madrid,38,59.4%,591,252,1776,124,639,54.3%,56.9%
Elche,38,57.7%,674,310,1798,148,864,52.0%,49.9%
Rayo Vallecano,38,53.4%,685,315,1935,155,992,49.5%,45.7%
Atlético Madrid,38,53.3%,647,297,1839,114,812,48.6%,53.8%
Real Sociedad,38,51.3%,678,299,1737,145,947,49.2%,51.9%
Sevilla,38,51.0%,687,326,1803,116,924,50.5%,53.0%
Girona,38,50.7%,588,292,1786,145,954,51.9%,47.5%
Celta Vigo,38,50.5%,545,274,1710,130,914,50.0%,45.0%
Real Betis,38,50.2%,657,342,1847,118,1067,51.4%,49.5%
Athletic Bilbao,38,48.6%,571,349,1983,78,808,45.5%,49.6%
Alaves,38,48.0%,691,297,1859,148,901,47.5%,49.4%
Valencia,38,47.6%,605,292,1780,116,1010,49.8%,46.1%
Mallorca,38,46.9%,560,272,1683,165,1099,49.3%,52.3%
Osasuna,38,46.8%,552,297,1775,124,1007,48.4%,53.0%
Real Oviedo,38,46.1%,678,301,1721,158,1021,51.1%,51.3%
Villarreal,38,44.5%,655,331,1784,158,1026,49.1%,47.9%
Levante,38,42.8%,597,332,1709,157,1010,49.3%,50.5%
Espanyol,38,42.3%,611,318,1718,161,935,49.0%,46.4%
Getafe,38,40.1%,684,339,1714,94,1063,50.0%,45.5%
