club,played,avg_possession_pct,passes_total,passes_successful,passes_pct,final_third_total,final_third_successful,final_third_pct,direction_fwd_pct,direction_bwd_pct,direction_left_pct,direction_right_pct,crosses_total,crosses_successful,crosses_pct,through_balls
Barcelona,38,68.8%,24800,22316,90.0%,7168,5850,81.6%,25.7%,15.1%,29.1%,30.1%,391,89,22.8%,121
Real Madrid,38,59.4%,22307,20002,89.7%,7008,5743,82.0%,27.7%,14.7%,29.1%,28.5%,360,68,18.9%,97
Elche,38,57.7%,18937,16205,85.6%,5230,3963,75.8%,31.8%,18.2%,25.1%,24.9%,485,113,23.3%,44
Rayo Vallecano,38,53.4%,15858,13041,82.2%,4273,2895,67.8%,33.9%,16.3%,24.6%,25.2%,573,114,19.9%,48
Atlético Madrid,38,53.3%,19208,16443,85.6%,5438,4121,75.8%,30.2%,15.7%,27.1%,27.0%,561,130,23.2%,100
Real Sociedad,38,51.3%,17033,14161,83.1%,4501,3147,69.9%,34.4%,15.8%,24.8%,24.9%,456,94,20.6%,79
Sevilla,38,51.0%,15396,12521,81.3%,4221,2889,68.4%,34.2%,15.4%,25.4%,25.1%,408,100,24.5%,40
Girona,38,50.7%,17759,15217,85.7%,5032,3860,76.7%,31.1%,16.6%,26.1%,26.2%,428,78,18.2%,51
Celta Vigo,38,50.5%,18909,16281,86.1%,4974,3727,74.9%,29.0%,14.9%,28.3%,27.8%,294,61,20.8%,121
Real Betis,38,50.2%,17878,15207,85.1%,4807,3566,74.2%,31.4%,15.2%,26.6%,26.9%,402,87,21.6%,68
Athletic Bilbao,38,48.6%,15562,12496,80.3%,5114,3421,66.9%,35.0%,14.6%,25.5%,25.0%,698,137,19.6%,59
Alaves,38,48.0%,15362,12346,80.4%,4305,2915,67.7%,34.8%,15.9%,24.6%,24.8%,538,117,21.8%,32
Valencia,38,47.6%,15423,12603,81.7%,4105,2810,68.5%,33.1%,14.9%,26.3%,25.7%,496,109,22.0%,50
Mallorca,38,46.9%,15085,12232,81.1%,3866,2572,66.5%,36.0%,15.7%,24.7%,23.6%,543,131,24.1%,25
Osasuna,38,46.8%,14682,11797,80.3%,4019,2726,66.8%,36.5%,14.8%,25.1%,23.5%,612,146,23.9%,22
Real Oviedo,38,46.1%,14851,12147,81.8%,3393,2296,67.7%,34.1%,15.9%,24.7%,25.2%,501,110,22.0%,36
Villarreal,38,44.5%,15550,12927,83.1%,4128,2938,71.2%,31.6%,13.4%,27.6%,27.3%,331,73,22.1%,80
Levante,38,42.8%,13505,10718,79.4%,3684,2265,61.5%,35.9%,15.6%,23.4%,25.1%,465,123,26.4%,50
Espanyol,38,42.3%,13227,10385,78.5%,3721,2236,60.1%,37.9%,14.5%,23.1%,24.4%,579,118,20.4%,51
Getafe,38,40.1%,10912,7538,69.1%,3791,2091,55.2%,44.5%,14.3%,20.2%,21.0%,509,95,18.7%,25
